date,id,YOLL1,YOLL2,YOLL3,humrel,meantemp,maxtemp,mintemp,o3,year,month,week,YLL,month_mean,yll_total,HW,HW_lag1,HW_lag2,HW_lag3,o3_lag1,o3_lag2,o3_lag3,HW_lag0_2,no2,no2_lag1,no2_lag2,no2_lag3,total_death
8/20/1990,81,513.74,296.56,574.09,58.3,17.23,22.3,10,11.25,1,3,12,1384.39,20.58781,1384.39,0,0,0,0,10,40,29.58333,0,8.875,6.878125,16.41875,19.41406,18
8/21/1990,82,931.87,911.81,501.36,61.5,17.91,23.2,12.4,16.6667,1,3,12,2345.04,20.58781,2345.04,0,0,0,0,11.25,10,40,0,11.20469,8.875,6.878125,16.41875,34
8/22/1990,83,939.72,884.3,798.9,66.8,19.6,25.3,12.1,15.8333,1,3,12,2622.92,20.58781,2622.92,0,0,0,0,16.66667,11.25,10,0,14.86563,11.20469,8.875,6.878125,37
8/23/1990,84,755.97,783.89,735.3,65.2,21.1,26.5,14,22.0833,1,3,12,2275.16,20.58781,2275.16,0,0,0,0,15.83333,16.66667,11.25,0,15.53125,14.86563,11.20469,8.875,32
8/24/1990,85,408.12,731.64,1053.5,72.9,21.83,26.6,17,14.1667,1,3,13,2193.26,20.58781,2193.26,0,0,0,0,22.08333,15.83333,16.66667,0,9.7625,15.53125,14.86563,11.20469,32
8/25/1990,86,578.72,890.62,1236.29,74,23.75,28,20,22.5,1,3,13,2705.63,20.58781,2705.63,0,0,0,0,14.16667,22.08333,15.83333,0,9.429688,9.7625,15.53125,14.86563,39
8/26/1990,87,1184.83,696.17,573.21,73.1,24.08,28.8,20,27.8261,1,3,13,2454.21,20.58781,2454.21,0,0,0,0,22.5,14.16667,22.08333,0,14.47011,9.429688,9.7625,15.53125,35
8/27/1990,88,1279.11,927.64,550.45,75.8,23.08,27.4,20.6,27.5,1,3,13,2757.2,20.58781,2757.2,0,0,0,0,27.82609,22.5,14.16667,0,7.1,14.47011,9.429688,9.7625,39
8/28/1990,89,1143.79,867.54,544.12,71.7,22.78,28.6,17.3,23.75,1,3,13,2555.45,20.58781,2555.45,0,0,0,0,27.5,27.82609,22.5,0,6.65625,7.1,14.47011,9.429688,37
8/29/1990,90,1365.93,498.55,224.99,71.3,20.09,24.2,15.5,12.5,1,3,13,2089.47,20.58781,2089.47,0,0,0,0,23.75,27.5,27.82609,0,2.551562,6.65625,7.1,14.47011,29
